ID;DESCRIPTION;Attribut1;Additional Feature;Application;Characteristic;Temp;Height;Length in mm;Rating;Material;Size;Code;Joule-integral-Nom (J);LC Risk;Maximum AC Voltage Rating;Maximum DC Voltage Rating;Maximum Power Dissipation;Mounting;Mounting Feature;Number of Terminals;Operating Temperature-Max (Cel);Operating Temperature-Min (Cel);Physical Dimension;Pre-arcing time-Min (ms);Product Diameter;Product Length;Rated Breaking Capacity (A);Rated Current (A);Rated Voltage (V);Rated Voltage(AC) (V);Rated Voltage(DC) (V)
A203;Indicator SubRed Slow Blow Movement 1.5A 250V SMD Gull Wing 10.16 X 6.35 X 4.19mm Thermoplastic Bulk CSA/UL Electric Indicator, Slow Blow, 1.5A, 250VAC, 50A (IR), Surface Mount;Slow Blow;;Motor Circuit;SLOW;6.35mm;4.19mm;9.45mm;1.5A;Thermoplastic;10.16 X 6.35 X 4.19mm;e0;0.85J;Low;250V;;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;9.45mm  x  6.35mm  x  4.19mm;;;9.45mm;50A;1.5A;250V;250V;
A204;Indicator SubRed Slow Blow Movement 1.5A 250V SMD Gull Wing 10.16 X 6.35 X 4.19mm Thermoplastic T/R CSA/UL Electric Indicator, Slow Blow, 1.5A, 250VAC, 50A (IR), Surface Mount;Slow Blow;;Motor Circuit;SLOW;6.35mm;4.19mm;9.45mm;1.5A;Thermoplastic;10.16 X 6.35 X 4.19mm;e0;0.85J;Low;250V;;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;9.45mm  x  6.35mm  x  4.19mm;;;9.45mm;50A;1.5A;250V;250V;
A205;Indicator SubRed Slow Blow Movement 2.5A 250V SMD Gull Wing 10.16 X 6.35 X 4.19mm Thermoplastic Bulk CSA/UL Electric Indicator, Slow Blow, 2.5A, 250VAC, 50A (IR), Surface Mount;Slow Blow;;Motor Circuit;SLOW;6.35mm;4.19mm;9.45mm;2.5A;Thermoplastic;10.16 X 6.35 X 4.19mm;e0;2.87J;Low;250V;;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;9.45mm  x  6.35mm  x  4.19mm;;;9.45mm;50A;2.5A;250V;250V;
A206;Indicator SubRed Slow Blow Movement 2.5A 250V SMD Gull Wing 10.16 X 6.35 X 4.19mm Thermoplastic T/R CSA/UL Electric Indicator, Slow Blow, 2.5A, 250VAC, 50A (IR), Surface Mount;Slow Blow;;Motor Circuit;SLOW;6.35mm;4.19mm;9.45mm;2.5A;Thermoplastic;10.16 X 6.35 X 4.19mm;e0;2.87J;Low;250V;;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;9.45mm  x  6.35mm  x  4.19mm;;;9.45mm;50A;2.5A;250V;250V;
A207;Indicator SubRed Slow Blow Movement 0.25A 250V SMD Gull Wing 10.16 X 6.35 X 4.19mm Thermoplastic Bulk CSA/UL Electric Indicator, Slow Blow, 0.25A, 250VAC, 50A (IR), Surface Mount;Slow Blow;;Motor Circuit;SLOW;6.35mm;4.19mm;9.45mm;0.25A;Thermoplastic;10.16 X 6.35 X 4.19mm;e0;0.0126J;Low;250V;;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;9.45mm  x  6.35mm  x  4.19mm;;;9.45mm;50A;0.25A;250V;250V;
A208;Indicator SubRed Slow Blow Movement 0.25A 250V SMD Gull Wing 10.16 X 6.35 X 4.19mm Thermoplastic T/R CSA/UL Electric Indicator, Slow Blow, 0.25A, 250VAC, 50A (IR), Surface Mount;Slow Blow;;Motor Circuit;SLOW;6.35mm;4.19mm;9.45mm;0.25A;Thermoplastic;10.16 X 6.35 X 4.19mm;e0;0.0126J;Low;250V;;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;9.45mm  x  6.35mm  x  4.19mm;;;9.45mm;50A;0.25A;250V;250V;
A209;Indicator SubRed Slow Blow Movement 0.5A 250V SMD Gull Wing 10.16 X 6.35 X 4.19mm Thermoplastic Bulk CSA/UL Electric Indicator, Slow Blow, 0.5A, 250VAC, 50A (IR), Surface Mount;Slow Blow;;Motor Circuit;SLOW;6.35mm;4.19mm;9.45mm;0.5A;Thermoplastic;10.16 X 6.35 X 4.19mm;e0;0.112J;Low;250V;;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;9.45mm  x  6.35mm  x  4.19mm;;;9.45mm;50A;0.5A;250V;250V;
A210;Indicator SubRed Slow Blow Movement 0.5A 250V SMD Gull Wing 10.16 X 6.35 X 4.19mm Thermoplastic T/R CSA/UL Electric Indicator, Slow Blow, 0.5A, 250VAC, 50A (IR), Surface Mount;Slow Blow;;Motor Circuit;SLOW;6.35mm;4.19mm;9.45mm;0.5A;Thermoplastic;10.16 X 6.35 X 4.19mm;e0;0.112J;Low;250V;;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;9.45mm  x  6.35mm  x  4.19mm;;;9.45mm;50A;0.5A;250V;250V;
A211;Indicator SubRed Slow Blow Movement 0.75A 250V SMD Gull Wing 10.16 X 6.35 X 4.19mm Thermoplastic Bulk CSA/UL Electric Indicator, Slow Blow, 0.75A, 250VAC, 50A (IR), Surface Mount;Slow Blow;;Motor Circuit;SLOW;6.35mm;4.19mm;9.45mm;0.75A;Thermoplastic;10.16 X 6.35 X 4.19mm;e0;0.327J;Low;250V;;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;9.45mm  x  6.35mm  x  4.19mm;;;9.45mm;50A;0.75A;250V;250V;
A212;Indicator SubRed Slow Blow Movement 0.75A 250V SMD Gull Wing 10.16 X 6.35 X 4.19mm Thermoplastic T/R CSA/UL Electric Indicator, Slow Blow, 0.75A, 250VAC, 50A (IR), Surface Mount;Slow Blow;;Motor Circuit;SLOW;6.35mm;4.19mm;9.45mm;0.75A;Thermoplastic;10.16 X 6.35 X 4.19mm;e0;0.327J;Low;250V;;;Surface Mount;SURFACE MOUNT;2;125Cel;-55Cel;9.45mm  x  6.35mm  x  4.19mm;;;9.45mm;50A;0.75A;250V;250V;
A213;;;;;TIME LAG;;20mm;5.2mm;;;5x20mm;e3;19.2J;High;;;;;INLINE/HOLDER;;125Cel;-55Cel;;;;;;;;;
A214;;;;;TIME LAG;;20mm;5.2mm;;;;e3;92.7J;Med;;;;;INLINE/HOLDER;;125Cel;-55Cel;;;;;;;;;
A215;;;;;TIME LAG;;20mm;5.2mm;;;;;314J;Low;;;;;INLINE/HOLDER;;125Cel;-55Cel;;;;;;;;;
A216;;;;;TIME LAG;;20mm;5.2mm;;;5x20mm;e3;314J;High;;;;;INLINE/HOLDER;;125Cel;-55Cel;;;;;;;;;
A217;;Slow Blow;;Motor Circuit;;;;;5A;Glass;5 X 20mm;;;;250V;;;;;;;;;;;;;;;;
A218;;;;;TIME LAG;;20mm;5.2mm;;;;;44.2J;High;;;;;INLINE/HOLDER;;125Cel;-55Cel;;;;;;;;;
A219;Indicator Red Slow Blow Movement 2.5A 250V Holder Plastic 5 X 20mm Glass Bulk BSI/CCC/CE/CSA/PSE/SEMKO/UL Electric Indicator, Time Lag Blow, 2.5A, 250VAC, 250VDC, 35A (IR), Through Hole, 5x20mm;Slow Blow;;Supplementary Protection|Utilization Equipment to Provide Individual Protection;TIME LAG;;22.5mm;5.8mm;2.5A;Glass;5x20mm;e3;138J;Low;250V;;1.6(Typ)W;Holder;THROUGH HOLE;2;125Cel;-55Cel;5.8mm  x  22.5mm;;5.2mm;20mm;35A;2.5A;250V;250V;250V
A220;;;;;TIME LAG;;20mm;5.2mm;;;;;138J;High;;;;;INLINE/HOLDER;;125Cel;-55Cel;;;;;;;;;
A221;;;;;TIME LAG;;20mm;5.2mm;;;;;27.15J;High;;;;;INLINE/HOLDER;;125Cel;-55Cel;;;;;;;;;
A222;;Slow Blow;;Motor Circuit;;;;;0.2A;;5 X 20mm;;;;250V;;;;;;;;;;;;;;;;
A223;;;;;TIME LAG;;20mm;5.2mm;;;;;0.225J;High;;;;;INLINE/HOLDER;;125Cel;-55Cel;;;;;;;;;
A224;;;;;TIME LAG;;20mm;5.2mm;;;;;0.555J;High;;;;;INLINE/HOLDER;;125Cel;-55Cel;;;;;;;;;
A225;;;;;TIME LAG;;20mm;5.2mm;;;;e3;202J;Low;;;;;INLINE/HOLDER;;125Cel;-55Cel;;;;;;;;;
A226;;Slow Blow;;Motor Circuit;;;;;0.4A;;5 X 20mm;;;;250V;;;;;;;;;;;;;;;;
A227;;;;;TIME LAG;;20mm;5.2mm;;;;e3;1.36J;High;;;;;INLINE/HOLDER;;125Cel;-55Cel;;;;;;;;;
A228;;Slow Blow;;Motor Circuit;;;;;0.5A;;5 X 20mm;;;;250V;;;;;;;;;;;;;;;;
A229;;;;;TIME LAG;;20mm;5.2mm;;;;;2.9J;High;;;;;INLINE/HOLDER;;125Cel;-55Cel;;;;;;;;;
A230;;Slow Blow;;Motor Circuit;;;;;0.63A;;5 X 20mm;;;;250V;;;;;;;;;;;;;;;;
A231;;;;;TIME LAG;;20mm;5.2mm;;;;;4.8J;High;;;;;INLINE/HOLDER;;125Cel;-55Cel;;;;;;;;;
A232;;;;;TIME LAG;;20mm;5.2mm;;;;;9.42J;High;;;;;INLINE/HOLDER;;125Cel;-55Cel;;;;;;;;;
A233;Indicator Red Slow Blow Movement 2A 250V Holder Plastic 5 X 20mm Ceramic Bulk CCC/CE/CSA/KC/PSE/SEMKO/UL/VDE Electric Indicator, Time Lag Blow, 2A, 250VAC, 1500A (IR), Supplemental, Inline/holder, 5x20mm;Slow Blow;;Supplementary Protection|Utilization Equipment to Provide Individual Protection;TIME LAG;;20mm;5.2mm;2A;Ceramic;5x20mm;e3;11.68J;Low;250V;;2.5W;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;1500A;2A;250V;250V;
A234;Indicator Red Slow Blow Movement 2A 250V Holder Plastic 5 X 20mm Ceramic Bulk CCC/CE/CSA/KC/PSE/SEMKO/UL/VDE Electric Indicator, Time Lag Blow, 2A, 250VAC, 250VDC, 1500A (IR), Inline/holder, 5x20mm;Slow Blow;PRE ARCHING TIME: OPEN WITHIN 10 MILLISEC AT 1000% RATED CURRENT;Supplementary Protection|Utilization Equipment to Provide Individual Protection;TIME LAG;;20mm;5.2mm;2A;Ceramic;5x20mm;;11.68J;Low;250V;;2.5W;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;1500A;2A;250V;250V;250V
A235;Indicator Red Slow Blow Movement 10A 250V Holder Plastic 5 X 20mm Ceramic Bulk CE/CSA/KC/PSE/SEMKO/UL/VDE Electric Indicator, Time Lag Blow, 10A, 1500A (IR), Supplemental, 5x20mm;Slow Blow;;Supplementary Protection|Utilization Equipment to Provide Individual Protection;TIME LAG;;20mm;5.2mm;10A;Ceramic;5x20mm;;;Low;250V;;4W;Holder;;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;1500A;10A;250V;;
A236;;;;;;;;;;;;;;Low;;;;;;;;;;;;;;;;;
A237;Indicator Red Slow Blow Movement 12A 250V Axial 5 X 20mm Ceramic Bulk CE/CSA/PSE/SEMKO/UL Electric Indicator, Time Lag Blow, 12A, 250VAC, 250VDC, 1500A (IR), Through Hole, 5x20mm;Slow Blow;PRE ARCHING TIME: OPEN WITHIN 10 MILLISEC AT 1000% RATED CURRENT;Supplementary Protection|Utilization Equipment to Provide Individual Protection;TIME LAG;;22.5mm;5.8mm;12A;Ceramic;5x20mm;e3;515.5J;Low;250V;;4W;Through Hole;THROUGH HOLE;2;125Cel;-55Cel;5.8mm  x  22.5mm;;5.8(Max)mm;22.5(Max)mm;1500A;12A;250V;250V;250V
A238;;Slow Blow;;Motor Circuit;;;;;1.6A;Ceramic;5 X 20mm;;;;250V;;;Holder;;2;;;;;5.2mm;20mm;;;;;
A239;Indicator Red Slow Blow Movement 2.5A 250V Holder Plastic 5 X 20mm Ceramic Bulk BSI/CCC/CE/CSA/KC/PSE/SEMKO/UL/VDE Electric Indicator, Time Lag Blow, 2.5A, 250VAC, 250VDC, 1500A (IR), Inline/holder, 5x20mm;;PRE ARCHING TIME: OPEN WITHIN 10 MILLISEC AT 1000% RATED CURRENT;;TIME LAG;;20mm;5.2mm;;;5x20mm;;22.29J;Low;;;;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;1500A;2.5A;250V;250V;250V
A240;;Slow Blow;;Motor Circuit;;;;;2.5A;Ceramic;5 X 20mm;;;;250V;;;Holder;;2;;;;;5.2mm;20mm;;;;;
A241;Indicator Red Slow Blow Movement 6.3A 250V Holder Plastic 5 X 20mm Ceramic Bulk CCC/CE/CSA/KC/PSE/SEMKO/UL/VDE Electric Indicator, Time Lag Blow, 6.3A, 250VAC, 250VDC, 1500A (IR), Inline/holder, 5x20mm;Slow Blow;PRE ARCHING TIME: OPEN WITHIN 10 MILLISEC AT 1000% RATED CURRENT;Supplementary Protection|Utilization Equipment to Provide Individual Protection;TIME LAG;;20mm;5.2mm;6.3A;Ceramic;5x20mm;;128.75J;Low;250V;;4W;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;1500A;6.3A;250V;250V;250V
A242;Indicator Red Fast Movement 1A 250V Holder Plastic Melf 5 X 20mm Ceramic CCC/CE/CSA/PSE/SEMKO/UL/VDE Electric Indicator, Fast Blow, 1A, 250VAC, 1500A (IR), Inline/holder;Fast;;Motor Circuit;FAST;;20mm;5.2mm;1A;Ceramic;5 X 20mm;e3;0.18J;Med;250V;;;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;1500A;1A;;250V;
A243;Indicator Red Fast Movement 2A 250V Holder Plastic Melf 5 X 20mm Ceramic CCC/CE/CSA/PSE/SEMKO/UL/VDE Electric Indicator, Fast Blow, 2A, 250VAC, 1500A (IR), Inline/holder;Fast;;Motor Circuit;FAST;;20mm;5.2mm;2A;Ceramic;5 X 20mm;e3;1.87J;High;250V;;;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;1500A;2A;;250V;
A244;Indicator Red Fast Movement 4A 250V Holder Plastic Melf 5 X 20mm Ceramic BSI/CCC/CE/CSA/KC/PSE/SEMKO/VDE/cULus Electric Indicator, Fast Blow, 4A, 250VAC, 1500A (IR), Inline/holder;Fast;;Motor Circuit;FAST;;20mm;5.2mm;4A;Ceramic;5 X 20mm;e3;14.995J;Med;250V;;;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;1500A;4A;;250V;
A245;Indicator Red Fast Movement 5A 250V Holder Plastic Melf 5 X 20mm Ceramic CCC/CE/CSA/PSE/SEMKO/UL/VDE Electric Indicator, Fast Blow, 5A, 250VAC, 1500A (IR), Inline/holder;Fast;;Motor Circuit;FAST;;20mm;5.2mm;5A;Ceramic;5 X 20mm;e3;27.46J;Med;250V;;;Holder;INLINE/HOLDER;2;125Cel;-55Cel;5.2mm  x  20mm;;5.2mm;20mm;1500A;5A;;250V;
